exam_1,exam_2,exam_3,attendance_rate,engagement_score,group_work_score,revision_hours,quiz_score,final_pass_score
40.0,30.0,50.0,60.0,2.0,0.0,0.0,3.0,34.24
73.45,75.58,73.85,82.16,4.13,34.52,14.42,44.0,63.98
40.0,31.15,55.87,60.0,2.95,0.0,0.0,4.0,27.84
44.45,39.49,50.0,60.0,2.89,17.98,0.0,0.0,30.18
89.61,56.38,80.16,86.31,7.88,34.36,15.98,42.0,72.57
90.83,81.38,95.34,84.1,10.0,99.95,8.52,82.0,80.97
73.07,66.95,78.43,79.28,4.75,84.57,15.59,70.0,69.36
65.01,38.27,67.49,93.16,3.44,46.72,9.49,40.0,53.0
62.77,45.22,67.85,76.56,5.93,54.72,7.04,66.0,63.63
40.0,30.0,50.0,60.0,2.0,2.81,0.0,14.0,22.15
51.43,48.84,59.45,60.0,2.0,29.03,5.82,9.0,40.71
60.81,43.51,70.62,73.06,3.93,59.14,9.55,21.0,49.68
100.0,87.04,91.74,99.63,8.92,66.49,18.66,100.0,96.08
82.57,78.93,73.54,82.66,9.72,50.16,12.61,60.0,74.21
43.12,30.0,50.3,73.16,5.26,25.01,2.19,5.0,31.54
65.99,55.82,77.69,100.0,4.81,93.29,5.36,71.0,76.98
64.19,48.42,66.53,71.48,2.49,4.51,6.18,7.0,51.93
46.89,31.41,61.69,73.05,2.47,50.78,5.7,0.0,39.94
78.63,69.4,75.9,96.55,7.21,26.08,13.73,90.0,78.84
89.88,95.0,100.0,100.0,8.6,100.0,16.4,81.0,87.79
98.27,95.0,88.94,92.92,9.07,96.28,17.83,92.0,94.0
45.74,44.11,55.98,76.53,2.34,0.0,0.34,0.0,48.0
49.54,62.1,64.09,74.02,2.94,22.65,6.33,31.0,55.07
82.39,81.87,79.14,88.49,5.71,52.21,11.28,68.0,68.54
85.97,74.43,100.0,97.57,10.0,89.82,20.0,63.0,88.99
58.07,52.0,66.13,70.54,3.76,68.16,1.59,29.0,49.35
66.7,52.94,76.25,78.33,4.74,58.11,11.33,43.0,63.02
46.51,30.0,51.01,60.0,2.0,28.9,0.0,0.0,39.83
52.83,34.37,53.72,60.0,2.0,0.0,1.17,0.0,27.79
82.11,72.77,95.79,93.35,10.0,91.17,19.64,81.0,86.47
99.62,81.34,100.0,94.72,10.0,78.57,20.0,94.0,88.65
66.07,65.34,80.02,81.99,6.91,41.19,10.77,76.0,70.28
100.0,95.0,98.52,100.0,7.88,84.11,17.6,93.0,94.48
81.32,74.14,96.85,86.59,5.55,76.05,13.49,59.0,86.36
50.04,36.77,66.25,77.28,5.31,6.83,11.1,19.0,43.01
76.58,78.87,76.29,86.47,8.49,49.53,13.84,73.0,80.56
91.96,95.0,98.94,91.25,9.63,100.0,15.29,100.0,80.93
76.15,62.12,76.58,78.01,7.1,47.32,8.3,55.0,75.15
100.0,85.82,100.0,100.0,8.27,85.99,18.53,100.0,94.74
46.61,30.0,54.12,60.0,2.0,0.0,2.63,0.0,32.04
89.96,93.08,98.27,94.23,6.63,72.97,13.0,95.0,86.5
67.62,75.4,68.8,85.02,6.83,70.21,8.96,57.0,69.57
54.16,51.21,75.96,90.53,5.24,44.9,8.08,27.0,51.96
75.06,63.24,74.08,88.9,5.58,39.03,9.82,56.0,66.0
40.0,30.0,50.0,60.8,2.0,0.0,0.33,0.0,35.19
77.38,58.22,66.46,79.17,8.69,17.17,8.55,40.0,59.27
70.23,68.41,87.89,75.04,6.91,58.2,13.99,69.0,70.97
100.0,72.43,98.4,93.7,10.0,100.0,16.66,75.0,87.59
67.29,56.64,59.36,74.58,3.92,9.1,8.21,31.0,56.15
52.48,52.85,54.27,66.41,2.37,57.36,0.8,23.0,41.87
57.72,43.05,52.94,72.7,6.23,39.9,5.44,31.0,46.15
87.74,80.96,90.54,96.68,10.0,90.55,13.88,80.0,87.1
68.93,71.05,74.96,85.89,7.15,66.5,13.1,52.0,74.55
61.24,45.54,61.47,71.08,5.73,0.0,5.92,29.0,41.66
94.7,85.28,90.53,82.9,10.0,49.12,14.75,85.0,89.6
69.46,65.77,80.51,80.37,5.29,80.83,8.06,74.0,70.41
87.95,84.65,100.0,89.97,10.0,100.0,20.0,100.0,96.32
40.0,31.68,65.41,63.65,2.88,0.0,5.78,26.0,39.15
54.09,59.67,64.46,81.28,3.47,44.66,6.55,0.0,47.21
58.59,55.71,66.29,71.86,3.2,59.99,5.94,23.0,53.71
51.51,38.27,50.0,63.58,4.29,0.0,0.0,5.0,26.98
82.84,63.61,68.76,86.02,4.44,93.71,10.42,53.0,62.99
79.25,84.48,73.57,82.39,7.67,77.09,17.59,48.0,66.89
67.26,49.05,74.11,74.04,4.83,59.25,8.76,34.0,65.62
59.47,61.17,68.68,73.38,7.71,34.55,17.84,66.0,73.31
50.12,30.0,53.07,61.1,2.0,1.84,0.0,0.0,19.78
60.09,44.03,68.32,75.91,3.96,22.12,7.54,28.0,51.36
45.61,64.65,56.66,74.57,7.03,40.51,7.73,24.0,50.55
43.49,45.52,60.06,69.46,4.37,18.95,2.91,1.0,41.75
59.47,53.52,72.44,67.98,6.22,34.06,2.82,49.0,56.05
76.98,70.27,87.83,92.47,8.61,29.24,8.7,81.0,74.21
100.0,95.0,100.0,93.23,8.44,96.1,20.0,82.0,93.87
73.94,71.62,78.07,89.04,7.7,37.5,7.88,59.0,73.6
76.4,79.8,88.27,87.65,6.64,39.17,16.67,60.0,72.62
77.45,56.76,67.99,67.44,6.25,32.85,8.52,40.0,56.72
40.0,30.0,50.0,64.42,2.7,16.54,0.92,0.0,33.8
82.71,62.95,76.98,85.49,4.31,26.58,9.62,65.0,70.44
66.79,60.69,74.14,88.63,7.07,34.96,10.3,37.0,63.42
100.0,84.86,100.0,95.39,9.73,100.0,20.0,80.0,91.32
62.78,59.2,82.63,77.61,3.52,26.03,12.17,58.0,53.44
79.03,69.66,84.15,89.59,6.87,41.03,13.27,67.0,65.31
72.26,63.88,75.49,83.79,5.9,64.61,12.12,31.0,62.59
43.12,30.0,50.0,62.46,2.85,0.0,4.22,0.0,32.68
94.58,95.0,89.8,97.44,6.56,100.0,17.85,91.0,88.95
82.22,74.22,91.48,99.46,9.27,79.36,11.17,100.0,79.73
100.0,79.18,99.2,100.0,8.11,94.06,19.11,82.0,85.15
41.96,34.01,52.6,62.71,3.89,22.79,6.3,17.0,39.28
100.0,95.0,100.0,95.3,10.0,97.54,13.83,100.0,99.9
40.0,36.12,58.56,60.0,2.0,0.0,0.0,22.0,30.27
83.83,88.07,96.61,98.75,7.86,82.36,14.41,79.0,85.65
99.08,95.0,100.0,100.0,10.0,93.2,16.46,100.0,93.33
46.66,61.63,53.73,62.05,3.74,22.57,0.56,14.0,43.63
40.0,46.26,53.15,68.61,2.68,6.6,0.89,16.0,35.52
73.89,76.49,73.46,71.18,5.86,48.2,9.75,55.0,70.92
48.13,55.67,61.99,70.43,6.3,0.0,7.99,24.0,49.08
42.34,37.77,50.0,60.0,2.0,15.66,0.0,0.0,31.3
64.39,78.34,78.03,82.19,6.78,77.59,6.83,37.0,60.43
40.0,30.0,62.57,67.99,2.0,0.0,5.48,23.0,33.15
80.82,72.46,94.76,82.64,5.24,67.43,11.29,40.0,72.46
40.0,38.1,55.78,64.88,2.0,0.0,0.0,29.0,36.55
96.58,93.57,100.0,100.0,9.01,85.73,20.0,80.0,99.9
40.26,42.07,53.01,67.22,4.68,28.62,2.68,23.0,34.68
48.11,65.27,76.54,71.06,6.5,25.42,7.63,27.0,59.33
99.29,82.57,83.93,94.71,6.16,96.11,17.53,62.0,83.72
40.0,30.0,55.48,65.74,2.0,0.0,4.58,17.0,29.68
74.85,70.51,83.09,85.67,7.82,75.25,9.52,24.0,53.19
100.0,93.22,95.46,99.98,9.85,92.15,19.66,100.0,94.2
40.0,30.0,50.0,66.94,4.17,21.71,0.0,2.0,29.69
69.04,63.38,72.35,86.41,7.63,95.82,14.1,74.0,70.7
78.65,75.46,74.3,77.46,6.55,27.69,15.14,71.0,76.58
99.16,95.0,83.04,97.86,8.56,83.34,18.38,94.0,89.78
40.0,30.0,54.61,65.7,2.0,0.0,7.75,13.0,36.74
40.0,30.0,57.23,60.0,2.0,0.0,1.99,13.0,25.4
71.62,78.0,73.77,75.78,9.23,81.64,19.22,80.0,81.5
75.19,55.0,92.71,79.09,8.14,85.78,9.49,58.0,64.36
77.01,66.36,80.56,83.89,7.56,21.79,9.74,58.0,71.3
73.2,59.09,84.53,92.29,7.6,24.6,20.0,67.0,79.04
48.35,53.29,50.86,62.41,2.09,52.55,0.0,15.0,31.43
66.13,63.29,88.15,87.51,7.56,55.66,14.85,93.0,86.32
78.47,83.96,82.8,67.92,7.24,64.98,17.27,62.0,73.91
58.31,50.29,65.76,68.22,6.31,0.0,7.8,1.0,48.0
92.1,89.96,100.0,97.56,8.14,100.0,14.26,98.0,95.69
78.31,68.0,93.67,100.0,6.66,98.7,13.0,59.0,73.71
43.62,30.0,50.0,60.0,2.0,9.93,2.24,29.0,31.28
96.45,80.89,88.52,91.73,8.05,83.4,18.58,81.0,85.1
40.0,36.69,50.0,60.0,2.0,0.0,1.2,16.0,34.63
90.04,79.47,98.08,90.87,10.0,100.0,14.58,93.0,92.74
100.0,95.0,100.0,89.79,10.0,100.0,19.02,100.0,99.9
47.11,40.56,62.95,79.03,2.82,0.91,0.39,17.0,45.05
78.18,88.02,100.0,95.21,8.01,100.0,14.2,87.0,93.29
84.75,69.02,73.92,86.16,5.29,51.62,12.64,69.0,75.71
100.0,85.1,100.0,94.54,7.95,98.21,20.0,69.0,94.32
100.0,88.63,100.0,93.21,10.0,100.0,19.0,98.0,94.57
55.95,55.78,67.26,81.91,3.98,42.04,2.35,66.0,52.61
45.95,41.12,60.14,70.27,6.03,7.6,1.93,27.0,35.16
58.73,38.52,54.24,69.5,4.94,0.0,8.22,8.0,49.45
54.52,52.41,60.34,60.0,3.06,20.94,0.0,43.0,44.93
72.53,59.21,71.04,85.42,5.06,37.89,9.3,37.0,61.33
81.78,80.31,85.55,92.26,6.41,100.0,15.73,70.0,66.4
72.71,72.38,81.63,83.59,9.3,34.15,8.38,58.0,66.58
90.89,84.84,91.02,100.0,8.03,84.63,18.13,84.0,93.34
69.79,61.95,76.43,81.87,7.39,56.04,6.83,56.0,66.5
100.0,94.54,100.0,90.44,10.0,100.0,15.59,100.0,92.6
73.72,56.94,64.93,74.14,6.07,26.88,9.86,35.0,57.06
100.0,87.52,98.5,97.11,8.82,100.0,20.0,87.0,99.9
76.67,69.37,85.07,91.77,7.77,91.49,14.24,100.0,80.98
48.47,42.53,52.33,70.7,2.88,26.22,4.38,13.0,40.08
46.39,38.18,55.8,60.0,2.0,0.0,2.1,0.0,32.68
87.48,82.43,90.15,86.02,9.54,63.66,14.97,56.0,81.51
59.44,57.17,69.94,71.05,4.09,49.71,5.51,70.0,64.26
100.0,89.37,97.22,88.18,7.74,60.12,12.78,100.0,99.9
73.58,81.91,90.41,83.58,9.66,84.61,11.39,76.0,87.56
60.23,66.51,72.39,79.1,7.42,44.7,8.7,38.0,61.89
48.82,31.03,50.0,67.9,5.24,33.19,0.87,17.0,44.19
55.24,30.0,54.98,62.09,2.0,0.0,0.0,0.0,24.38
51.92,46.41,65.97,73.08,4.68,66.19,5.24,39.0,51.14
91.21,87.41,94.4,99.15,9.21,96.75,15.42,94.0,87.76
83.54,66.88,77.02,98.14,5.96,70.04,13.93,59.0,70.31
40.0,30.0,54.47,60.82,2.47,0.0,0.0,0.0,34.27
72.27,80.99,80.99,89.24,6.16,62.86,14.6,54.0,79.67
84.48,71.63,82.25,92.72,7.62,56.35,14.29,82.0,72.26
48.1,37.99,50.0,74.76,7.72,0.0,0.26,7.0,37.86
81.57,76.7,84.87,86.13,7.01,53.0,10.8,88.0,74.25
80.87,45.91,79.94,75.98,6.73,75.88,10.04,85.0,73.7
42.21,30.0,51.53,61.83,3.18,0.0,0.6,0.0,35.94
81.76,69.95,67.11,87.95,7.55,60.22,14.52,61.0,83.54
86.68,76.28,87.39,94.99,6.44,69.09,13.43,74.0,85.11
100.0,92.83,97.92,94.25,7.53,100.0,18.89,89.0,99.15
98.85,95.0,95.0,100.0,9.75,100.0,19.9,100.0,92.82
40.0,35.25,54.53,60.03,2.0,0.0,0.0,18.0,29.19
53.29,42.54,58.19,68.16,2.0,0.0,3.55,27.0,40.9
94.82,77.93,89.21,91.13,10.0,65.16,11.2,70.0,94.84
73.02,66.61,92.79,89.98,8.0,58.7,13.58,70.0,76.32
83.98,61.34,80.45,90.67,9.93,74.46,12.2,43.0,79.81
95.04,83.07,97.28,100.0,6.79,88.52,20.0,90.0,88.76
83.18,82.0,88.29,100.0,10.0,65.44,18.83,62.0,83.96
100.0,95.0,96.27,87.9,9.3,100.0,19.6,83.0,93.82
100.0,88.77,100.0,100.0,10.0,62.12,18.23,86.0,90.75
86.78,78.68,86.52,91.99,8.65,36.29,15.72,75.0,84.18
47.71,68.97,75.7,73.26,5.52,60.67,7.11,35.0,50.37
83.54,78.28,86.49,79.48,9.39,100.0,20.0,100.0,79.47
55.59,47.13,70.4,69.57,2.61,22.6,13.88,33.0,50.45
43.87,55.59,81.85,74.99,4.22,45.44,7.25,22.0,54.07
65.44,47.83,63.51,66.26,3.73,24.37,7.68,35.0,46.54
75.96,74.07,83.72,81.73,4.18,100.0,7.69,42.0,78.45
100.0,95.0,97.6,98.24,9.31,100.0,17.28,100.0,96.57
40.0,30.0,56.08,60.0,2.0,52.16,0.0,20.0,35.23
73.69,88.81,89.38,92.88,6.32,100.0,20.0,74.0,78.89
43.1,32.84,50.0,63.48,2.66,9.23,2.53,0.0,35.02
66.44,48.75,50.0,68.21,4.31,24.56,4.37,30.0,51.82
100.0,95.0,97.89,100.0,10.0,99.32,20.0,100.0,99.75
66.96,59.01,78.12,81.81,7.24,44.88,13.33,83.0,72.32
41.53,30.0,58.73,66.87,2.0,10.72,4.61,0.0,34.69
46.85,37.05,59.13,66.5,2.07,31.29,5.03,20.0,35.4
82.45,89.41,96.31,97.04,8.88,56.1,16.45,85.0,94.27
57.16,40.39,55.84,64.97,2.0,69.42,8.18,0.0,40.38
67.22,58.71,77.85,95.7,6.62,44.12,7.98,38.0,70.7
64.79,58.19,82.35,78.2,7.27,0.0,3.49,57.0,53.53
44.46,30.0,50.0,64.16,5.16,19.04,8.66,15.0,44.28
89.27,91.14,100.0,99.4,9.24,77.03,18.38,79.0,91.75
88.17,81.34,86.86,87.04,5.05,77.46,20.0,89.0,84.51
48.36,30.0,58.16,60.0,2.0,1.42,6.91,1.0,31.73
73.7,83.4,76.03,87.72,7.59,67.3,18.35,59.0,79.98
41.29,47.63,63.21,60.0,3.11,40.34,0.0,4.0,39.96
99.06,91.57,99.71,91.04,10.0,68.21,20.0,63.0,99.26
60.74,30.0,50.0,60.0,2.0,7.07,1.04,5.0,36.7
62.25,56.3,71.58,78.79,6.08,58.41,6.62,46.0,56.76
80.19,73.47,83.77,75.96,10.0,59.58,15.88,62.0,75.03
97.09,81.69,100.0,98.87,9.41,51.41,15.54,72.0,88.51
51.68,30.0,54.05,63.94,2.0,12.39,2.7,0.0,40.67
57.23,38.61,66.07,64.18,8.79,23.64,11.75,35.0,56.1
47.58,38.66,58.03,72.59,6.57,15.99,5.0,50.0,53.61
56.91,50.21,66.53,71.34,3.32,23.0,5.41,23.0,48.43
100.0,93.89,99.59,100.0,10.0,100.0,18.35,78.0,85.38
80.98,70.4,74.4,78.48,8.65,88.17,15.33,38.0,74.06
40.0,30.0,50.0,60.0,2.92,0.0,5.1,0.0,30.61
100.0,95.0,98.28,100.0,7.31,100.0,19.74,96.0,99.9
100.0,95.0,92.35,95.07,10.0,71.72,19.57,84.0,99.9
92.34,95.0,100.0,95.42,10.0,88.71,20.0,100.0,99.9
40.35,30.0,50.0,63.8,2.73,0.0,0.0,18.0,31.14
47.19,43.51,64.1,64.27,4.83,29.32,4.27,37.0,43.88
100.0,95.0,100.0,98.4,9.23,100.0,17.61,97.0,95.05
49.0,56.56,54.7,72.61,2.15,21.48,0.0,46.0,43.83
78.85,86.63,71.55,79.46,5.33,75.2,10.9,63.0,72.53
90.68,89.7,93.57,90.94,9.88,100.0,17.17,71.0,84.19
45.26,36.57,50.0,60.0,2.34,11.42,2.48,13.0,34.38
74.84,71.69,74.36,74.28,3.85,75.09,5.98,59.0,53.87
44.26,36.2,50.0,67.11,3.41,0.0,0.0,0.0,42.71
41.22,30.0,53.53,69.99,2.0,0.0,0.0,21.0,32.01
68.68,46.89,78.69,77.0,3.86,41.18,15.6,14.0,54.03
42.89,32.64,50.0,63.19,2.0,6.54,5.28,0.0,35.15
96.93,81.06,97.19,100.0,9.72,89.32,17.42,95.0,97.15
40.0,30.0,50.0,60.0,2.66,0.0,0.5,0.0,18.9
57.05,44.17,63.93,73.51,3.16,51.7,2.87,36.0,44.26
77.17,64.33,80.4,74.58,7.93,69.29,14.86,61.0,79.47
97.36,92.76,97.1,94.25,10.0,93.4,20.0,100.0,99.9
40.0,30.0,52.5,60.0,2.0,3.96,0.0,18.0,25.67
100.0,95.0,98.93,93.63,9.77,100.0,16.49,95.0,99.9
77.04,60.73,67.42,72.55,5.43,25.87,9.84,56.0,65.42
40.0,30.79,54.79,60.0,2.56,0.0,6.15,0.0,28.68
86.59,65.49,84.16,95.2,9.85,89.26,12.79,85.0,82.13
76.23,76.31,80.22,92.93,6.09,24.36,16.5,51.0,62.96
56.61,39.71,58.09,69.0,4.11,1.18,5.72,19.0,46.67
72.87,56.06,72.64,84.75,5.25,28.87,7.63,48.0,67.63
68.16,52.89,67.27,69.68,5.38,51.02,5.03,31.0,51.84
75.55,59.84,76.17,69.65,6.81,33.41,13.3,50.0,64.85
87.43,77.76,100.0,86.56,10.0,95.63,18.99,47.0,86.18
100.0,95.0,100.0,98.15,8.81,92.93,20.0,100.0,96.41
41.68,30.0,53.27,60.85,2.99,35.57,0.77,0.0,21.85
100.0,95.0,98.94,99.39,10.0,100.0,20.0,94.0,99.9
42.26,30.0,50.0,60.0,2.0,21.34,8.12,0.0,39.74
65.23,62.88,66.74,73.82,5.27,52.38,17.3,51.0,67.6
85.95,64.56,84.35,92.65,8.39,67.46,15.47,69.0,85.18
73.36,64.01,79.67,76.87,6.67,62.39,6.16,79.0,67.98
47.78,35.81,60.79,73.6,4.01,22.15,4.86,50.0,48.77
57.19,48.97,74.25,72.74,6.22,31.4,8.54,65.0,55.63
46.67,51.32,65.55,83.53,4.06,45.57,1.02,32.0,43.02
47.75,53.34,68.69,67.5,3.7,73.69,5.14,15.0,40.94
91.68,90.04,92.24,92.41,9.44,90.55,13.89,79.0,89.36
80.38,71.17,84.58,83.05,6.71,80.4,14.57,61.0,75.38
49.34,37.31,61.47,64.71,3.0,29.4,5.91,6.0,45.17
77.33,95.0,96.72,99.84,7.94,38.28,19.99,97.0,80.62
89.63,87.64,89.61,85.28,7.05,73.66,16.33,60.0,82.41
99.77,87.33,98.11,100.0,9.57,95.41,19.01,86.0,99.9
90.21,88.24,81.25,94.12,7.88,53.36,18.51,74.0,84.27
61.35,40.93,55.66,65.27,2.0,0.0,7.19,19.0,46.13
47.84,52.01,62.31,72.15,3.84,33.33,3.37,29.0,57.66
100.0,75.27,100.0,100.0,9.26,100.0,16.21,78.0,96.76
79.53,76.55,86.75,94.93,8.38,70.08,14.21,75.0,73.05
71.15,64.97,68.63,81.31,9.14,42.43,7.13,47.0,62.34
64.0,75.39,80.27,84.65,5.48,100.0,9.98,65.0,72.28
100.0,88.62,100.0,93.08,9.78,100.0,20.0,88.0,95.05
56.81,30.0,61.25,84.78,4.99,0.0,7.29,16.0,50.75
83.66,74.62,85.99,93.02,6.97,60.36,8.82,46.0,71.33
69.68,64.46,76.14,80.13,8.05,84.49,14.36,25.0,65.81
64.84,43.78,64.98,75.91,5.22,26.94,11.09,37.0,59.67
95.91,85.46,97.68,85.99,10.0,88.78,20.0,93.0,86.38
88.21,87.86,90.44,93.27,9.0,100.0,12.46,58.0,85.11
97.8,85.39,99.87,95.1,10.0,81.34,13.05,94.0,88.16
95.29,95.0,100.0,95.06,8.47,100.0,20.0,87.0,98.41
77.16,53.53,69.08,75.39,8.34,56.7,13.81,27.0,60.97
97.22,79.91,84.56,90.24,8.79,77.79,20.0,86.0,90.78
49.61,62.75,79.26,79.04,5.83,60.22,6.73,49.0,56.72
86.91,62.68,88.79,93.37,6.1,39.08,17.62,28.0,60.42
81.32,70.21,77.12,78.68,6.02,46.49,3.9,54.0,66.34
74.43,57.01,77.26,78.34,4.96,42.76,6.43,51.0,54.29
90.38,86.53,97.44,88.54,9.84,100.0,18.99,73.0,97.28
55.37,35.66,50.0,65.87,2.0,9.69,0.0,0.0,35.66
98.02,86.07,100.0,100.0,10.0,100.0,19.86,98.0,99.9
44.15,30.0,50.0,64.5,2.0,0.0,0.0,3.0,28.39
40.0,34.25,50.0,60.0,2.0,2.18,0.0,34.0,34.04
100.0,94.95,100.0,100.0,8.65,100.0,16.32,100.0,84.26
94.96,94.38,91.95,96.95,9.5,66.51,15.76,86.0,92.13
90.57,91.95,86.43,88.86,6.96,100.0,12.29,96.0,80.71
94.64,71.65,86.17,80.99,7.3,78.8,17.89,92.0,85.85
64.09,52.34,62.81,74.47,6.49,57.68,13.53,28.0,52.13
41.94,30.0,59.39,73.25,4.09,20.54,4.12,20.0,42.49
85.69,57.7,70.67,71.2,7.22,51.89,6.52,55.0,65.02
50.63,51.31,70.91,75.72,3.5,3.33,5.79,9.0,37.94
97.77,95.0,95.21,87.18,9.82,95.77,14.35,78.0,96.93
65.55,53.95,79.55,72.71,5.64,3.16,15.38,41.0,59.2
41.8,38.27,50.0,62.89,2.0,0.0,2.75,13.0,29.12
73.01,64.05,72.16,84.91,5.25,32.74,4.03,53.0,65.57
77.35,89.46,90.22,87.59,5.98,99.53,13.91,35.0,72.27
46.66,48.03,70.14,68.57,4.86,54.97,5.53,6.0,44.82
44.55,30.0,50.0,60.0,3.23,32.59,5.15,16.0,44.34
62.17,71.95,76.27,87.52,3.76,30.18,5.4,59.0,62.95
71.92,76.96,83.97,81.33,8.29,67.04,9.7,63.0,75.92
49.34,49.42,64.48,69.5,3.42,9.98,7.17,20.0,44.3
61.73,54.39,66.16,69.37,3.43,27.46,8.56,33.0,48.3
71.42,72.07,78.06,88.5,8.21,79.53,20.0,37.0,71.78
46.39,30.0,59.3,64.57,2.0,13.16,4.96,31.0,27.29
50.07,30.0,65.65,60.0,2.86,25.66,0.0,6.0,38.89
56.23,38.98,59.46,63.3,2.47,0.0,9.92,25.0,46.52
62.69,64.57,72.92,71.8,6.39,19.94,10.17,24.0,49.21
79.41,65.62,82.33,86.7,7.4,94.12,17.72,55.0,77.69
89.02,95.0,100.0,100.0,10.0,100.0,20.0,100.0,82.33
92.19,89.96,99.27,96.62,8.83,88.27,20.0,83.0,99.9
59.49,70.19,65.0,63.98,7.77,42.34,12.46,47.0,59.02
74.49,61.62,70.9,84.22,8.62,72.6,11.82,37.0,63.89
61.46,30.0,50.0,60.0,2.0,15.53,0.0,0.0,36.35
73.1,67.0,90.75,75.38,7.27,61.29,8.24,66.0,72.74
47.87,70.73,72.32,75.99,3.41,18.51,3.98,24.0,41.99
76.11,77.5,78.69,85.31,7.9,87.51,12.64,78.0,77.76
48.55,32.16,52.33,70.35,2.0,8.78,6.54,0.0,37.3
84.65,69.25,91.52,85.68,8.45,45.52,16.77,71.0,75.03
94.74,87.57,100.0,94.2,8.8,84.37,17.21,94.0,96.2
68.83,74.94,77.34,76.17,4.95,33.16,12.51,42.0,57.5
71.9,71.7,81.49,93.09,6.82,97.64,9.38,79.0,78.14
81.83,77.52,92.36,96.2,7.43,67.12,17.41,100.0,78.69
63.82,49.53,66.64,73.3,3.54,39.64,11.41,29.0,51.03
68.74,66.58,74.42,91.99,6.23,17.88,7.78,62.0,56.4
74.22,75.1,69.72,87.1,5.82,69.3,10.73,47.0,71.07
62.78,57.44,79.67,86.49,6.82,38.56,8.36,56.0,69.53
61.84,49.1,58.79,60.0,5.9,23.03,8.91,4.0,54.9
65.09,64.17,78.87,85.14,4.72,58.91,18.32,36.0,63.58
81.84,86.48,90.95,87.75,7.98,85.07,16.48,77.0,80.21
100.0,95.0,100.0,97.63,10.0,100.0,20.0,100.0,99.9
91.83,91.22,91.93,93.17,8.43,100.0,20.0,100.0,93.95
100.0,92.54,100.0,98.97,6.75,100.0,20.0,100.0,92.51
53.42,40.57,62.23,62.43,2.0,60.44,0.13,15.0,36.68
100.0,87.28,92.75,96.72,5.94,100.0,16.25,97.0,90.44
80.65,54.94,79.86,82.26,8.88,63.74,10.02,73.0,78.1
98.76,95.0,98.28,100.0,10.0,100.0,13.76,98.0,89.95
47.12,40.77,69.46,68.77,4.18,17.56,6.25,0.0,47.98
64.24,30.0,56.74,63.12,4.39,21.2,0.0,0.0,36.09
60.66,30.0,64.22,64.79,3.01,29.97,7.59,39.0,52.74
40.0,30.0,50.0,60.0,5.32,4.95,0.0,26.0,34.3
56.52,53.13,60.29,75.16,4.59,68.71,4.47,46.0,57.3
47.09,35.47,50.11,66.81,3.16,61.29,5.18,9.0,34.93
