exam_1,exam_2,exam_3,attendance_rate,engagement_score,group_work_score,revision_hours,quiz_score,final_pass_score
71.37,75.22,73.52,90.72,7.46,57.79,16.7,4.0,59.06
75.99,59.2,76.06,81.83,6.01,57.92,12.72,4.0,52.38
82.52,67.29,82.76,82.11,5.81,12.91,11.79,4.0,52.18
91.44,83.61,90.96,90.61,9.62,88.83,16.92,9.0,70.3
89.57,78.98,85.51,83.09,9.22,84.05,16.99,7.0,59.86
65.83,49.33,68.84,77.59,3.25,20.15,5.31,3.0,42.29
75.02,65.86,76.38,83.73,7.99,63.58,13.23,5.0,49.79
72.78,60.43,75.78,85.84,6.15,38.73,7.78,6.0,46.38
91.49,80.88,90.14,88.8,8.49,78.19,12.16,6.0,58.91
67.05,61.82,74.11,71.88,5.77,44.86,11.27,5.0,50.79
73.99,70.92,90.61,86.88,5.99,44.19,10.59,5.0,54.37
77.75,84.2,77.11,84.67,8.01,87.56,11.47,6.0,58.46
78.92,69.31,90.73,91.99,8.36,86.92,13.05,8.0,56.85
62.08,65.71,70.31,76.9,6.14,32.92,10.08,3.0,46.29
67.11,66.28,80.58,75.82,6.39,62.45,9.49,4.0,48.49
71.89,59.7,78.2,81.81,5.75,60.94,10.29,5.0,51.92
66.42,55.71,72.17,88.86,4.77,59.83,10.08,4.0,45.51
93.01,85.23,94.16,96.56,9.57,61.07,12.69,9.0,68.78
72.18,77.74,75.61,86.2,7.63,81.17,9.68,7.0,50.21
66.24,56.04,72.96,80.74,4.51,32.54,9.02,3.0,43.36
88.26,85.81,88.08,90.35,7.47,68.4,12.98,6.0,67.09
85.53,82.14,98.47,97.57,8.97,100.0,20.0,7.0,67.93
87.09,79.0,91.98,85.83,6.85,80.02,17.42,6.0,59.54
68.22,47.67,70.08,75.82,4.32,31.41,9.17,3.0,44.48
65.84,66.17,76.96,85.24,5.31,19.66,14.91,6.0,49.6
95.43,85.96,85.98,88.26,7.99,99.85,15.6,8.0,63.29
71.64,59.91,71.84,85.45,5.36,29.21,11.43,5.0,45.67
76.61,59.79,88.08,86.3,6.03,51.61,11.93,6.0,62.23
82.7,77.59,91.56,85.1,9.35,66.65,20.0,7.0,63.61
70.34,62.23,72.1,82.43,6.69,67.34,13.98,4.0,46.91
75.83,70.52,79.74,82.5,6.11,70.71,11.85,7.0,59.23
49.41,43.82,52.07,67.59,3.13,9.01,3.2,1.0,34.01
62.36,53.44,77.01,76.69,5.9,49.26,12.19,4.0,45.84
74.54,70.07,80.77,82.25,7.45,47.21,10.89,3.0,50.79
57.98,63.04,78.41,78.49,4.65,43.38,6.68,4.0,47.66
90.16,75.67,88.73,94.96,9.63,85.59,18.99,8.0,65.61
58.79,56.72,67.76,67.44,4.65,53.08,7.9,3.0,37.42
68.51,62.09,77.63,76.87,5.2,67.91,11.12,4.0,55.88
83.11,69.85,83.57,88.5,7.54,69.37,10.39,6.0,55.52
94.21,84.86,89.95,92.12,9.56,76.18,12.2,6.0,68.8
66.0,52.47,65.74,73.29,7.15,49.59,8.26,4.0,49.02
81.23,76.83,92.25,85.54,7.24,76.07,17.66,6.0,59.41
74.57,69.28,82.96,79.74,7.37,43.92,11.49,5.0,56.77
72.99,53.78,68.97,70.02,5.29,39.23,12.5,3.0,45.3
80.84,67.86,88.89,86.37,7.98,68.2,11.7,6.0,51.99
88.92,74.47,86.17,82.8,5.86,76.64,10.07,8.0,56.32
72.49,57.17,76.04,76.53,5.07,48.24,10.04,5.0,49.72
77.55,73.15,80.84,84.15,6.26,42.91,12.01,5.0,53.09
71.05,67.65,79.33,83.14,6.4,55.07,12.69,6.0,52.46
77.66,61.13,77.4,93.05,6.42,63.4,10.48,5.0,56.83
81.23,71.93,85.09,81.93,8.12,72.72,17.27,8.0,60.66
93.67,90.67,83.29,98.15,9.52,97.59,20.0,8.0,67.15
69.45,51.83,74.22,80.47,5.79,56.72,8.19,1.0,49.31
91.42,87.38,89.75,93.68,10.0,83.08,20.0,7.0,69.47
52.04,52.37,71.37,73.1,4.79,21.48,3.61,4.0,31.43
65.82,71.59,77.54,81.26,5.64,42.12,14.13,5.0,53.69
83.73,73.43,83.57,88.27,8.6,79.31,16.28,5.0,62.57
73.23,68.63,79.6,91.72,6.65,85.95,14.92,5.0,57.58
60.06,70.33,74.18,82.69,6.78,45.93,10.09,3.0,52.39
75.99,76.01,84.11,84.79,7.81,53.26,4.29,5.0,50.64
83.53,69.28,66.35,79.32,6.57,74.61,8.98,7.0,53.39
70.67,63.7,80.69,74.53,4.9,58.74,8.73,5.0,44.81
87.67,73.08,87.72,88.26,7.08,79.29,12.2,9.0,61.01
79.61,68.16,77.85,90.97,8.29,47.49,13.36,7.0,62.07
69.29,64.96,70.5,73.73,5.83,59.79,8.92,5.0,45.52
88.51,79.95,93.45,85.18,7.94,59.56,12.72,8.0,58.91
77.37,79.28,78.52,86.35,7.78,47.6,10.38,6.0,53.3
84.6,80.31,81.48,84.94,8.33,66.99,12.72,6.0,59.78
83.21,67.32,89.27,84.61,7.78,60.66,16.58,7.0,56.52
65.33,66.39,75.14,77.33,5.64,44.24,7.93,6.0,49.08
75.72,58.35,72.05,75.18,5.88,29.98,9.08,4.0,50.0
81.89,74.29,86.47,84.59,8.38,85.59,13.15,6.0,61.56
77.87,76.25,80.47,90.48,7.98,86.07,14.64,6.0,54.6
78.39,79.17,84.25,78.65,6.57,30.48,13.03,6.0,58.51
72.74,86.32,85.13,78.31,7.81,76.44,5.04,6.0,57.58
87.63,84.61,91.71,89.15,8.23,67.01,18.28,6.0,67.66
70.63,62.28,77.01,83.38,5.41,63.98,13.67,6.0,53.74
86.14,77.11,91.15,86.49,6.85,67.18,11.12,6.0,59.87
76.46,71.64,78.48,80.93,5.77,57.4,9.06,5.0,55.51
73.92,65.21,73.64,82.87,6.32,53.96,10.27,4.0,57.01
89.81,89.05,90.04,83.61,9.11,94.66,13.48,9.0,61.95
90.1,78.24,94.53,90.93,7.15,53.79,15.01,7.0,65.6
86.0,79.52,82.04,90.41,7.93,81.32,9.77,6.0,58.89
87.8,85.19,88.35,90.2,7.84,96.1,13.23,8.0,63.25
69.89,71.4,81.82,88.15,6.62,71.06,15.76,6.0,52.47
77.03,80.01,84.9,83.58,6.41,100.0,11.82,6.0,57.97
71.74,62.77,73.74,86.65,6.25,47.41,14.05,6.0,49.49
75.99,69.26,86.92,86.56,7.03,79.22,13.83,5.0,56.53
73.93,62.01,88.3,81.87,7.08,56.46,7.27,5.0,48.58
77.14,72.23,81.51,84.5,7.1,79.96,13.82,4.0,56.23
83.9,78.85,80.85,87.14,6.56,68.81,13.5,5.0,57.56
68.3,63.4,67.67,83.97,6.69,41.91,8.45,6.0,48.32
97.17,95.0,96.72,92.25,9.48,100.0,18.87,9.0,66.98
67.26,59.16,76.87,74.91,5.75,37.54,10.12,4.0,43.5
55.59,60.64,72.79,80.86,5.34,20.6,10.06,5.0,46.3
81.91,74.61,88.68,88.57,7.78,69.62,18.3,7.0,59.84
82.43,74.71,83.58,92.35,7.92,81.16,15.35,6.0,64.32
75.81,78.7,80.31,94.54,7.93,90.24,10.57,6.0,59.17
84.53,79.54,88.05,86.16,6.16,71.09,12.75,6.0,61.32
83.24,67.35,83.56,86.65,6.35,79.59,19.03,5.0,64.74
73.77,59.88,67.09,74.0,5.52,26.17,11.05,5.0,46.23
75.66,61.85,86.93,87.47,7.1,54.49,17.91,6.0,55.98
77.06,60.54,77.22,80.73,6.94,45.51,13.32,5.0,55.37
85.49,83.14,92.91,91.74,7.35,72.91,15.51,8.0,65.09
73.06,70.56,73.53,80.54,6.23,59.06,12.28,6.0,52.33
65.63,63.55,68.35,72.4,5.4,57.98,9.44,3.0,51.39
71.66,66.13,76.99,84.08,5.77,48.51,6.87,4.0,48.77
77.85,73.06,85.11,78.22,7.02,68.28,13.28,6.0,56.95
71.74,60.07,82.96,79.35,6.74,50.87,13.21,4.0,52.77
69.37,64.62,76.66,82.83,4.97,33.78,8.09,4.0,45.34
78.21,73.57,80.86,86.23,7.43,61.95,13.72,6.0,57.48
80.3,73.95,77.73,93.26,5.73,61.52,14.78,8.0,61.72
77.15,61.32,81.12,85.06,5.74,49.92,8.3,4.0,52.34
76.32,53.21,72.61,78.56,5.97,53.41,9.5,3.0,48.71
70.96,76.97,88.25,85.5,8.42,64.62,10.25,6.0,56.12
50.71,52.39,68.0,75.12,4.84,31.79,5.68,3.0,41.05
67.82,50.79,75.81,69.23,3.35,57.98,4.69,4.0,45.29
62.97,65.6,77.33,75.93,4.34,31.68,7.68,5.0,47.95
73.0,64.88,77.85,80.48,6.57,45.98,14.77,6.0,52.44
73.18,77.54,80.25,77.72,7.66,100.0,10.74,4.0,57.63
80.63,86.59,89.7,93.04,8.87,66.56,16.73,7.0,65.48
86.32,80.92,88.15,88.15,7.96,52.56,13.37,7.0,57.46
78.2,60.34,79.11,76.35,7.54,68.62,14.35,6.0,55.22
73.06,75.12,77.48,85.5,6.35,28.56,15.09,7.0,48.13
54.54,60.58,71.82,80.85,6.31,41.43,11.07,5.0,48.39
73.21,66.9,80.18,84.8,5.47,91.91,12.68,5.0,57.23
75.28,66.93,69.32,80.97,5.73,32.5,10.58,4.0,51.89
71.81,62.91,84.25,88.3,5.74,35.11,10.11,5.0,50.22
69.44,63.06,69.88,81.76,5.59,25.1,14.18,4.0,50.64
80.6,68.71,79.28,88.35,7.39,81.27,11.73,7.0,61.09
92.58,76.91,84.75,89.9,8.73,99.86,18.19,8.0,69.9
75.6,60.02,72.01,84.45,6.72,50.68,14.22,4.0,52.55
74.94,78.7,77.59,91.19,6.54,76.27,11.87,6.0,57.3
87.95,72.46,82.34,85.75,7.48,91.21,16.56,7.0,64.97
71.63,73.06,84.8,89.98,5.12,80.79,12.63,5.0,51.88
77.89,68.4,79.58,83.24,8.16,59.67,16.82,6.0,56.77
71.63,60.24,80.81,84.21,6.57,25.67,10.91,6.0,54.41
74.75,64.15,82.33,81.9,6.53,49.15,9.21,7.0,54.7
64.8,67.89,74.73,80.26,7.14,42.0,8.47,5.0,50.2
75.39,68.43,79.87,77.18,5.84,56.48,12.57,5.0,48.83
88.7,71.0,78.95,84.8,6.5,64.65,13.63,5.0,57.48
82.48,83.98,96.69,88.34,7.66,98.55,15.41,8.0,63.08
76.89,80.96,94.42,90.3,7.9,93.51,10.3,4.0,61.68
100.0,95.0,89.42,100.0,9.73,89.72,19.59,8.0,69.46
68.09,69.05,70.15,81.98,6.47,64.97,14.43,4.0,49.95
80.64,75.63,85.42,79.75,9.9,78.45,15.73,5.0,54.82
82.64,63.89,77.52,93.27,5.22,63.72,14.01,5.0,59.45
92.8,88.2,98.45,98.32,9.91,100.0,19.94,9.0,70.57
77.49,62.47,71.02,76.04,5.38,48.96,10.53,5.0,50.18
71.7,55.8,82.36,79.59,5.32,78.27,11.72,4.0,51.9
68.26,58.18,80.27,81.11,5.58,29.43,11.15,5.0,45.8
67.24,50.08,64.92,68.59,3.52,20.41,4.88,3.0,35.67
68.36,63.62,80.16,81.64,7.52,50.22,8.51,6.0,47.56
72.73,61.77,78.73,77.02,6.56,55.2,9.13,4.0,48.16
