student_id,score_percentage,hard_question_accuracy,hint_usage_percentage,avg_confidence,answer_changes_rate,tab_switches_rate,avg_time_per_question,review_percentage,avg_first_action_latency,clicks_per_question,performance_trend,mastery_level,mastery_level_name
STU0038,49.61,42.48,42.9,3.42,0.0,0.0,72.75,9.93,56.63,2.03,0.01,2,proficient
STU0039,88.76,80.64,96.08,3.94,0.12,0.78,61.27,39.48,17.99,3.66,0.35,2,proficient
STU0040,1.73,0.0,0.0,2.94,0.18,0.4,16.81,41.87,10.44,1.0,-0.24,0,at_risk
STU0041,65.2,55.65,0.0,3.27,0.0,0.42,54.64,0.0,56.71,1.0,-0.27,2,proficient
STU0042,82.12,57.83,53.06,3.01,0.0,0.2,2.53,0.0,0.5,2.29,0.09,2,proficient
STU0043,33.1,27.49,20.97,2.99,0.18,0.41,1.0,1.1,0.5,1.0,-0.53,0,at_risk
STU0044,94.31,100.0,24.99,3.58,0.15,1.72,98.57,9.61,60.0,1.81,-0.15,3,advanced
STU0045,31.42,0.66,10.58,2.64,0.33,0.39,30.85,45.53,20.67,1.91,0.26,0,at_risk
STU0046,69.79,44.77,30.53,2.85,0.0,0.47,129.78,0.0,60.0,1.0,-0.28,2,proficient
STU0047,36.28,14.08,29.89,2.73,0.12,0.03,17.87,0.0,6.77,1.64,0.08,1,developing
STU0048,24.87,17.53,44.68,2.29,0.14,0.0,50.55,0.0,26.26,1.24,-0.11,0,at_risk
STU0049,61.52,38.58,52.4,2.44,0.06,0.0,14.8,6.63,0.5,1.68,0.22,2,proficient
STU0050,36.74,40.67,0.0,3.38,0.31,0.0,1.0,17.13,0.5,1.41,-0.23,0,at_risk
STU0051,56.39,44.99,64.18,3.22,0.16,0.08,5.77,3.8,0.5,2.06,0.07,2,proficient
STU0052,100.0,100.0,29.71,3.93,0.06,0.0,1.0,0.0,0.5,1.07,0.37,3,advanced
STU0053,63.51,51.1,56.06,2.21,0.09,0.52,1.0,28.85,0.5,2.27,0.11,2,proficient
STU0054,100.0,100.0,49.87,3.21,0.0,0.86,29.3,0.8,6.34,2.15,0.06,3,advanced
STU0055,84.56,67.58,29.54,2.87,0.01,0.45,85.65,0.0,60.0,1.7,0.03,2,proficient
STU0056,100.0,88.27,7.33,2.67,0.29,0.79,69.78,15.03,48.68,2.61,0.03,3,advanced
STU0057,57.07,59.21,41.46,3.24,0.0,0.4,110.54,32.91,60.0,1.91,-0.39,2,proficient
STU0058,50.1,41.98,60.03,2.37,0.3,0.21,20.49,0.0,0.5,2.52,0.04,2,proficient
STU0059,15.62,0.0,15.88,3.74,0.08,0.0,1.0,2.41,0.5,1.23,-0.06,0,at_risk
STU0060,74.45,93.78,60.06,3.07,0.0,1.34,47.51,5.97,22.11,2.34,-0.15,3,advanced
STU0061,36.84,19.5,26.59,2.86,0.0,0.05,15.5,32.1,0.5,2.17,0.28,0,at_risk
STU0062,0.0,0.0,6.83,2.34,0.0,0.0,84.67,23.98,60.0,1.12,-0.46,0,at_risk
STU0063,38.29,36.89,0.0,3.46,0.05,0.0,46.73,12.38,44.53,1.4,-0.39,1,developing
STU0064,72.07,72.11,22.11,3.39,0.0,0.62,29.57,0.0,28.51,1.0,-0.5,2,proficient
STU0065,7.72,8.25,0.0,3.79,0.0,0.49,8.48,0.0,9.59,1.0,-0.22,0,at_risk
STU0066,86.51,79.11,40.05,3.12,0.08,0.51,1.0,0.0,0.5,1.56,-0.08,2,proficient
STU0067,54.37,50.71,12.56,2.85,0.1,0.0,50.52,0.0,56.13,1.0,-0.07,1,developing
STU0068,82.93,99.41,59.19,2.44,0.0,0.17,53.93,7.36,31.06,1.93,-0.27,3,advanced
STU0069,35.71,5.17,3.4,2.55,0.0,0.31,1.0,49.36,0.5,1.61,-0.32,0,at_risk
STU0070,74.57,56.62,39.04,4.33,0.14,0.73,1.0,8.84,0.5,1.88,0.4,2,proficient
STU0071,74.79,57.05,53.85,3.62,0.23,0.0,1.0,4.79,0.5,2.27,0.11,2,proficient
STU0072,14.28,11.3,37.45,3.22,0.27,0.38,27.51,18.31,0.67,2.39,0.01,0,at_risk
STU0073,61.87,33.2,3.84,3.69,0.11,0.41,30.4,8.07,31.81,1.19,-0.08,1,developing
STU0074,40.13,24.52,18.89,3.21,0.02,0.53,1.0,2.62,0.5,1.87,0.01,1,developing
STU0075,84.39,52.41,48.33,3.64,0.14,0.68,18.89,36.26,14.53,2.37,-0.11,2,proficient
STU0076,96.88,100.0,17.8,3.18,0.04,0.05,8.16,0.0,0.5,1.09,-0.05,3,advanced
STU0077,99.75,75.19,70.71,3.19,0.11,0.65,6.23,15.0,0.5,2.7,0.14,2,proficient
STU0078,100.0,100.0,31.15,3.2,0.01,0.3,119.01,26.96,60.0,1.72,0.03,3,advanced
STU0079,37.47,38.28,29.62,2.44,0.29,0.9,10.29,10.29,0.5,2.19,0.05,1,developing
STU0080,100.0,100.0,19.11,2.84,0.0,0.46,145.95,0.0,60.0,1.18,0.13,3,advanced
STU0081,100.0,100.0,32.44,3.92,0.24,1.33,87.44,5.06,60.0,2.58,0.19,3,advanced
STU0082,68.85,76.18,62.74,3.75,0.23,0.36,29.66,35.31,0.5,3.03,-0.07,2,proficient
STU0083,54.68,65.33,30.71,3.18,0.0,0.49,57.76,41.08,40.14,2.1,-0.08,2,proficient
STU0084,100.0,89.87,47.41,3.59,0.15,0.32,53.75,26.81,26.33,2.48,-0.15,3,advanced
STU0085,89.22,56.64,25.51,3.48,0.36,0.38,20.9,47.84,0.5,2.01,0.08,2,proficient
STU0086,38.96,14.32,50.11,3.17,0.02,0.0,55.56,20.67,42.26,2.38,-0.22,1,developing
STU0087,8.64,0.0,20.83,3.09,0.05,0.01,1.0,34.11,0.5,2.1,0.06,0,at_risk
STU0088,67.36,67.05,43.16,3.46,0.32,0.49,60.77,15.25,51.48,2.13,0.34,2,proficient
STU0089,52.64,21.64,37.5,2.85,0.22,0.0,14.41,0.0,3.67,1.0,-0.46,2,proficient
STU0090,76.35,79.33,43.67,2.81,0.07,0.38,1.0,30.84,0.5,2.17,-0.06,2,proficient
STU0091,60.0,19.58,30.19,2.9,0.0,0.0,116.9,18.45,60.0,1.65,0.28,2,proficient
STU0092,81.21,73.01,16.01,3.59,0.17,0.73,67.0,28.66,48.1,2.48,0.0,2,proficient
STU0093,100.0,95.42,94.72,3.39,0.03,0.3,41.19,13.53,15.73,2.55,0.06,2,proficient
STU0094,100.0,100.0,49.38,3.4,0.12,0.93,13.95,0.0,0.5,2.42,0.14,3,advanced
STU0095,39.52,54.78,0.0,2.54,0.07,0.61,108.17,0.0,60.0,1.0,-0.34,2,proficient
STU0096,80.0,80.91,0.0,3.97,0.33,0.27,46.12,17.94,43.59,1.43,-0.29,3,advanced
STU0097,53.07,62.11,40.95,2.97,0.2,0.0,72.09,0.0,60.0,1.0,-0.43,2,proficient
STU0098,88.21,71.86,48.04,3.25,0.18,0.43,1.0,25.77,0.5,1.99,-0.12,2,proficient
STU0099,98.28,100.0,25.58,3.2,0.04,1.27,74.05,13.22,60.0,2.01,-0.2,3,advanced
STU0100,48.01,37.94,27.21,3.45,0.12,0.44,19.63,11.29,0.5,2.16,0.06,1,developing
STU0101,83.39,29.72,100.0,3.1,0.31,0.0,69.64,2.59,35.02,3.42,0.19,2,proficient
STU0102,60.27,64.62,42.07,3.23,0.15,1.22,33.59,17.2,19.64,2.67,0.21,2,proficient
STU0103,72.75,46.09,84.39,2.66,0.14,0.0,42.22,18.64,20.09,2.7,0.45,2,proficient
STU0104,67.26,54.45,60.83,3.67,0.0,0.42,58.19,1.46,48.59,1.86,-0.02,2,proficient
STU0105,48.7,39.96,0.0,2.58,0.3,0.0,1.0,0.0,0.5,1.0,0.23,1,developing
STU0106,83.74,64.02,100.0,3.58,0.1,0.0,127.47,0.0,60.0,2.67,0.71,2,proficient
STU0107,94.83,94.31,53.17,3.65,0.24,0.65,46.16,10.76,18.32,2.43,-0.41,3,advanced
STU0108,50.91,26.73,0.0,3.28,0.31,0.54,1.0,0.0,0.5,1.06,-0.16,1,developing
STU0109,70.12,46.16,38.94,2.64,0.0,0.29,1.0,9.76,0.5,1.86,0.04,2,proficient
STU0110,94.23,86.97,24.81,3.39,0.19,0.5,49.34,0.0,32.22,1.3,0.31,3,advanced
STU0111,16.98,0.0,3.06,3.43,0.06,0.39,1.0,13.29,0.5,2.0,-0.31,0,at_risk
STU0112,63.0,63.71,41.06,3.1,0.07,0.31,27.8,24.11,28.38,1.85,-0.44,2,proficient
STU0113,51.21,81.89,0.0,3.9,0.37,0.29,36.23,41.88,24.56,2.13,-0.29,2,proficient
STU0114,23.77,4.92,0.0,3.11,0.0,0.01,1.0,5.8,0.5,1.0,-0.11,0,at_risk
STU0115,90.19,62.42,89.38,3.39,0.02,0.27,67.43,11.37,43.43,2.27,0.07,2,proficient
STU0116,11.95,1.43,0.0,2.73,0.25,0.42,45.02,0.0,40.25,1.53,-0.1,0,at_risk
STU0117,100.0,100.0,47.84,3.28,0.12,0.58,93.45,23.22,60.0,2.04,-0.51,2,proficient
STU0118,68.87,42.84,0.0,3.49,0.48,0.36,72.14,18.82,60.0,1.79,-0.15,2,proficient
STU0119,61.75,57.66,10.46,3.65,0.08,0.0,46.87,0.0,43.53,1.09,0.14,2,proficient
STU0120,67.89,58.44,55.99,3.77,0.22,0.34,1.0,0.0,0.5,1.95,-0.02,2,proficient
STU0121,55.51,54.64,25.8,3.38,0.11,0.0,1.0,0.0,0.5,1.62,0.35,1,developing
STU0122,89.93,77.48,80.73,3.29,0.07,0.16,29.69,0.24,8.02,2.37,0.05,2,proficient
STU0123,66.77,76.02,55.52,2.53,0.0,0.54,1.0,0.0,0.5,1.0,-0.03,2,proficient
STU0124,76.31,58.35,0.0,3.14,0.13,0.0,50.58,0.0,60.0,1.0,-0.41,2,proficient
STU0125,89.27,77.67,36.38,2.9,0.01,0.03,43.51,32.33,19.68,1.59,0.26,3,advanced
STU0126,47.63,28.37,60.36,2.82,0.38,0.48,11.48,60.71,0.5,3.52,0.14,1,developing
STU0127,92.38,100.0,33.02,2.99,0.15,0.31,136.37,11.08,60.0,2.0,-0.45,2,proficient
STU0128,25.05,34.64,0.21,2.63,0.13,0.58,56.91,29.32,43.37,1.28,0.11,1,developing
STU0129,44.27,31.46,66.62,3.29,0.19,0.97,1.0,34.42,0.5,3.02,0.38,2,proficient
STU0130,68.87,68.08,61.7,3.01,0.0,0.0,1.0,36.39,0.5,2.36,-0.05,2,proficient
STU0131,62.93,66.43,53.39,2.9,0.06,0.41,26.48,36.58,9.93,2.67,0.12,2,proficient
STU0132,88.58,82.21,0.0,3.53,0.0,0.18,67.37,21.42,60.0,1.43,0.28,3,advanced
STU0133,60.96,91.93,38.47,2.41,0.16,0.6,99.16,23.81,60.0,1.91,-0.27,2,proficient
STU0134,28.64,10.82,43.01,3.74,0.19,0.0,21.14,35.53,4.14,2.23,0.01,0,at_risk
STU0135,30.58,31.65,18.74,3.26,0.0,0.0,44.76,0.0,53.21,1.0,-0.13,1,developing
STU0136,81.45,50.52,0.0,2.7,0.26,0.12,165.55,2.73,60.0,1.52,0.36,2,proficient
STU0137,100.0,100.0,67.66,3.6,0.24,0.5,14.51,7.91,0.5,2.54,0.18,2,proficient
STU0138,82.12,74.35,77.71,2.71,0.06,0.09,1.0,2.36,0.5,2.71,0.24,2,proficient
STU0139,23.49,43.14,52.16,3.23,0.06,0.0,1.0,27.13,0.5,2.55,-0.16,0,at_risk
STU0140,20.67,13.98,0.0,3.26,0.05,0.0,1.0,8.9,0.5,1.0,-0.88,0,at_risk
STU0141,53.01,71.27,71.36,2.88,0.0,0.46,1.0,11.06,0.5,2.67,-0.05,2,proficient
STU0142,47.79,25.32,6.95,3.08,0.14,0.46,1.0,35.6,0.5,1.84,-0.26,2,proficient
STU0143,0.0,0.0,32.71,2.73,0.08,0.04,1.0,0.84,0.5,1.11,-0.08,0,at_risk
STU0144,13.65,12.0,18.29,2.31,0.23,0.0,1.0,15.14,0.5,1.23,-0.14,0,at_risk
STU0145,66.53,68.13,34.71,3.04,0.0,0.3,1.0,0.0,0.5,1.02,-0.64,2,proficient
STU0146,23.92,24.58,80.63,2.95,0.0,0.0,71.89,1.48,44.48,2.01,-0.29,1,developing
STU0147,57.46,73.42,33.97,3.05,0.03,0.0,64.93,2.44,53.95,2.45,0.05,2,proficient
STU0148,31.56,16.11,59.35,3.06,0.0,0.29,1.0,39.47,0.5,2.12,0.25,0,at_risk
STU0149,55.84,59.94,40.89,2.78,0.0,0.61,23.67,0.0,3.03,1.84,0.4,1,developing
STU0150,22.21,13.72,63.54,2.93,0.17,0.0,29.7,11.71,21.21,2.43,0.62,0,at_risk
STU0151,71.0,66.93,37.39,3.06,0.14,0.24,46.0,32.34,22.49,2.61,0.3,2,proficient
STU0152,50.33,8.72,17.98,3.72,0.13,0.0,1.0,22.41,0.5,1.49,-0.09,1,developing
STU0153,42.22,19.09,76.77,2.89,0.29,0.71,73.1,17.34,47.13,2.8,-0.21,1,developing
STU0154,63.43,36.26,69.64,2.93,0.13,0.29,27.38,23.74,1.5,2.81,-0.25,2,proficient
STU0155,57.57,78.37,0.0,2.94,0.14,0.45,50.26,14.15,49.59,1.71,-0.08,2,proficient
STU0156,46.68,48.06,80.63,2.98,0.0,0.56,22.65,0.0,8.26,1.62,-0.09,2,proficient
STU0157,63.66,57.54,51.25,2.98,0.17,0.21,67.65,23.78,41.2,2.68,-0.13,2,proficient
STU0158,77.76,74.3,86.33,3.07,0.05,0.34,27.4,23.33,0.5,2.54,-0.24,2,proficient
STU0159,81.97,99.15,26.39,3.2,0.09,0.92,4.93,8.27,0.5,2.04,-0.07,3,advanced
STU0160,83.48,32.78,64.12,2.95,0.0,0.25,111.66,2.75,60.0,2.13,0.35,2,proficient
STU0161,100.0,100.0,39.1,2.66,0.03,0.2,154.86,1.83,60.0,1.81,-0.11,2,proficient
STU0162,100.0,85.23,47.45,3.02,0.0,0.13,56.06,0.0,37.68,1.06,-0.1,3,advanced
STU0163,9.26,12.15,19.82,2.36,0.0,0.0,30.38,30.47,11.88,1.63,-0.17,0,at_risk
STU0164,73.71,67.9,10.88,3.14,0.0,0.68,45.22,36.02,33.53,1.59,-0.52,2,proficient
STU0165,0.42,0.0,31.16,3.15,0.0,0.01,1.0,8.58,0.5,1.45,-0.12,0,at_risk
STU0166,27.43,0.0,10.08,3.0,0.0,0.0,24.65,0.4,20.42,1.0,0.03,0,at_risk
STU0167,21.53,34.37,14.96,3.05,0.19,0.25,54.15,18.57,40.51,1.87,-0.42,1,developing
STU0168,57.04,47.52,24.0,3.13,0.0,0.0,34.83,0.0,23.03,1.43,-0.27,2,proficient
STU0169,82.54,79.98,15.08,4.06,0.0,0.68,75.1,0.0,60.0,1.11,-0.09,3,advanced
STU0170,61.54,50.44,54.83,3.49,0.0,0.62,1.0,18.67,0.5,1.7,-0.16,2,proficient
STU0171,21.08,8.92,14.22,3.38,0.3,0.6,1.0,13.75,0.5,1.73,0.15,0,at_risk
STU0172,100.0,73.48,26.17,3.36,0.15,0.11,69.99,0.0,58.94,1.7,-0.01,3,advanced
STU0173,40.9,30.28,24.37,2.95,0.04,0.69,54.68,5.06,47.72,1.46,0.13,1,developing
STU0174,64.78,54.08,44.88,2.51,0.0,0.0,49.36,31.39,52.84,1.9,0.04,2,proficient
STU0175,0.48,0.0,0.0,2.72,0.04,0.0,1.0,16.54,0.5,1.14,0.41,0,at_risk
STU0176,26.6,0.0,23.73,3.53,0.43,0.0,29.32,13.56,21.9,2.6,-0.24,0,at_risk
STU0177,61.34,59.5,60.76,3.18,0.15,0.16,41.34,5.35,26.92,2.06,0.04,2,proficient
STU0178,52.96,61.28,23.83,2.4,0.24,0.01,10.35,0.0,13.37,1.0,0.55,1,developing
STU0179,85.11,79.4,33.44,3.4,0.19,0.68,67.23,12.41,48.01,2.06,-0.12,3,advanced
STU0180,87.41,87.38,0.0,3.72,0.12,0.44,24.76,17.55,38.17,1.0,-0.14,3,advanced
STU0181,25.05,0.0,9.69,3.44,0.26,0.19,43.86,26.62,31.34,1.94,0.14,0,at_risk
STU0182,76.17,85.35,50.49,3.36,0.27,0.48,1.0,8.27,0.5,2.22,-0.07,2,proficient
STU0183,30.36,16.73,0.0,3.25,0.08,0.0,44.78,20.98,39.41,1.0,-0.37,1,developing
STU0184,25.99,29.87,15.07,2.95,0.0,0.2,1.0,0.0,0.5,1.27,-0.43,0,at_risk
STU0185,0.0,0.0,62.22,3.25,0.15,0.0,10.0,2.7,1.77,2.02,0.22,0,at_risk
STU0186,100.0,100.0,30.23,3.49,0.0,0.34,48.55,0.0,39.84,1.0,0.16,3,advanced
STU0187,53.83,44.69,19.78,3.24,0.22,0.0,1.0,3.1,0.5,1.39,-0.18,1,developing
STU0188,79.73,74.64,39.4,3.61,0.1,0.52,31.19,11.7,10.9,1.36,-0.15,2,proficient
STU0189,95.97,100.0,62.95,3.81,0.15,0.61,11.83,1.8,0.5,2.73,0.01,2,proficient
STU0190,40.49,31.56,43.91,2.46,0.0,0.0,1.0,0.0,0.5,1.0,0.24,1,developing
STU0191,63.51,59.08,48.32,2.68,0.24,0.31,70.29,0.0,41.61,2.27,0.06,2,proficient
STU0192,27.11,4.86,59.23,2.49,0.33,0.0,50.96,15.54,38.13,2.1,-0.07,1,developing
STU0193,55.04,30.62,54.34,2.9,0.06,0.0,1.0,0.0,0.5,1.86,0.04,2,proficient
STU0194,46.04,37.42,43.43,2.6,0.24,0.48,66.9,25.5,47.65,2.54,0.08,1,developing
STU0195,43.34,25.57,31.94,3.77,0.0,0.0,16.73,2.7,13.66,1.33,-0.09,1,developing
STU0196,97.96,64.14,19.77,3.32,0.0,0.17,124.73,0.0,60.0,1.0,-0.29,3,advanced
STU0197,42.71,28.88,65.17,3.29,0.0,0.14,41.62,29.11,33.04,1.93,-0.27,1,developing
STU0198,16.58,4.15,35.8,3.41,0.1,0.0,10.05,0.0,18.05,1.0,-0.09,0,at_risk
STU0199,100.0,100.0,36.22,3.25,0.07,1.04,1.0,28.46,0.5,2.36,-0.11,3,advanced
STU0200,71.26,37.61,51.63,4.06,0.0,0.19,1.0,11.17,0.5,1.72,0.14,2,proficient
STU0201,100.0,95.09,61.91,2.78,0.0,0.6,129.29,11.56,60.0,2.14,-0.36,2,proficient
STU0202,71.73,76.22,16.94,3.05,0.12,0.22,36.58,42.66,23.32,1.97,-0.27,3,advanced
STU0203,75.87,63.98,15.63,3.84,0.34,0.2,1.0,26.98,0.5,2.41,-0.42,2,proficient
STU0204,80.27,52.52,60.0,3.23,0.0,0.06,71.17,7.74,57.12,2.47,-0.32,2,proficient
STU0205,100.0,94.11,12.83,2.82,0.04,0.8,59.33,29.2,35.28,1.92,-0.41,3,advanced
STU0206,64.6,69.19,16.34,2.11,0.06,0.48,71.94,28.02,52.15,2.0,0.14,2,proficient
STU0207,1.15,0.0,2.59,2.94,0.13,0.0,1.0,8.92,0.5,1.0,0.01,0,at_risk
STU0208,19.8,21.2,33.36,2.27,0.0,0.43,1.0,0.0,0.5,1.59,-0.18,0,at_risk
STU0209,36.13,49.08,71.26,3.43,0.13,0.0,1.0,19.56,0.5,2.9,0.2,2,proficient
STU0210,9.31,16.68,0.0,2.87,0.1,0.76,150.27,27.28,60.0,1.58,-0.06,1,developing
STU0211,44.33,62.98,27.96,3.33,0.2,0.48,56.11,1.58,38.78,1.53,-0.06,2,proficient
STU0212,76.9,74.83,81.1,3.16,0.21,0.01,18.81,24.55,0.5,2.71,0.01,2,proficient
STU0213,8.87,0.0,46.9,3.18,0.18,0.0,4.02,4.45,0.5,1.97,0.09,0,at_risk
STU0214,38.25,0.0,65.01,2.83,0.0,0.16,12.32,29.41,0.5,2.41,-0.28,0,at_risk
STU0215,89.72,84.58,25.16,3.38,0.0,0.47,1.94,0.0,0.5,1.27,-0.2,3,advanced
STU0216,99.25,81.81,0.0,2.94,0.26,0.43,36.73,8.45,36.03,1.7,0.27,3,advanced
STU0217,43.17,13.83,19.47,3.24,0.0,0.0,36.66,2.19,34.43,1.0,-0.15,1,developing
STU0218,26.45,31.26,50.61,2.21,0.0,0.0,1.0,0.0,0.5,1.18,-0.35,0,at_risk
STU0219,59.97,52.0,9.38,3.29,0.01,0.11,102.92,29.64,60.0,1.86,0.09,2,proficient
STU0220,19.82,23.56,64.04,2.47,0.0,0.37,34.3,19.57,17.52,2.24,-0.41,0,at_risk
STU0221,84.85,93.69,25.17,3.27,0.0,0.56,69.28,0.0,60.0,1.17,-0.05,3,advanced
STU0222,23.63,14.4,17.99,3.15,0.03,0.0,48.98,0.58,32.42,1.8,0.27,0,at_risk
STU0223,15.55,17.33,4.39,3.15,0.13,0.0,1.0,0.0,0.5,1.0,-0.17,0,at_risk
STU0224,32.63,34.21,65.7,2.76,0.12,0.33,43.55,16.41,27.64,2.48,-0.35,1,developing
STU0225,79.57,84.1,9.53,3.31,0.19,0.38,86.34,51.32,60.0,1.86,-0.09,3,advanced
STU0226,75.2,62.55,76.63,2.6,0.19,0.12,121.22,52.69,60.0,2.95,0.19,2,proficient
STU0227,42.36,32.71,27.76,2.29,0.05,0.0,15.44,31.26,0.5,2.06,-0.12,1,developing
STU0228,45.54,48.73,34.76,3.36,0.25,0.16,1.0,0.0,0.5,2.66,0.35,1,developing
STU0229,13.81,0.0,39.3,3.21,0.19,0.0,1.44,21.7,0.5,1.31,-0.14,0,at_risk
STU0230,28.61,22.42,100.0,3.07,0.07,0.4,35.62,26.37,6.93,3.72,-0.17,1,developing
STU0231,67.86,44.55,51.38,2.79,0.02,0.07,84.92,25.23,57.51,2.15,-0.2,2,proficient
STU0232,16.55,4.38,13.27,4.07,0.2,0.0,1.0,28.23,0.5,1.15,-0.55,0,at_risk
STU0233,100.0,100.0,14.33,3.65,0.0,0.39,65.98,5.45,50.95,1.15,-0.34,3,advanced
STU0234,61.39,38.59,21.99,2.78,0.18,0.53,33.77,11.81,11.95,1.74,-0.08,1,developing
STU0235,100.0,100.0,91.61,3.81,0.2,1.26,79.02,22.33,40.19,3.68,0.4,2,proficient
STU0236,35.3,6.1,23.91,2.75,0.07,0.44,11.86,9.38,3.67,1.8,-0.59,0,at_risk
STU0237,35.86,30.19,59.61,2.82,0.0,0.22,1.0,0.0,0.5,1.31,-0.22,0,at_risk
STU0238,0.0,0.0,49.62,3.12,0.0,0.0,1.0,18.68,0.5,1.52,-0.1,0,at_risk
STU0239,67.37,80.69,47.66,3.52,0.12,0.92,48.89,0.0,38.96,2.23,-0.19,2,proficient
STU0240,39.62,35.25,38.74,3.17,0.14,0.79,71.14,19.65,58.73,1.85,-0.05,1,developing
STU0241,100.0,94.82,16.57,3.13,0.0,0.13,42.39,0.0,39.05,1.0,-0.29,3,advanced
STU0242,98.83,97.48,66.82,3.0,0.23,0.15,89.54,15.02,60.0,2.16,-0.27,2,proficient
STU0243,71.52,47.85,49.54,2.62,0.21,0.0,69.23,23.58,47.28,2.38,0.08,2,proficient
STU0244,37.87,13.43,0.0,3.34,0.0,0.0,10.89,7.99,17.4,1.0,-0.01,0,at_risk
STU0245,63.75,59.57,43.88,2.52,0.18,0.54,2.52,5.76,0.5,2.01,0.02,2,proficient
STU0246,96.22,100.0,0.0,3.66,0.31,0.76,92.16,47.01,60.0,2.29,0.11,3,advanced
STU0247,58.12,49.47,19.88,3.86,0.0,0.76,45.43,0.0,38.81,1.0,-0.04,2,proficient
